Gene,MeanAbsSHAP
GAS2L3,0.0015544019690567426
AFF3,0.0015539011540374994
C10orf114,0.001553071696277808
NKAIN1,0.0015528155469461857
PHYHD1,0.0015496305790211155
CDC25A,0.0015492409273436339
KIF26B,0.001548325431838767
ANXA8,0.001546971860870499
CATSPERB,0.0015469661565395163
IL1RL2,0.0015460408550047255
SMO,0.0015415901141159181
MMP12,0.0015410617768143058
MCM10,0.0015408765896561742
RGMA,0.001538526962232033
NBPF22P,0.0015320507635367322
GJB2,0.0015304779471825391
IRX6,0.0015292154159048524
NCRNA00087,0.0015269219092222859
NFKBIZ,0.0015253568981841504
CRYM,0.0015244687354374442
GTSE1,0.0015211544821955019
RXRG,0.0015167349855731674
C11orf9,0.0015160830332891667
FLJ45983,0.0015159912998253984
CLSPN,0.001514171711431326
DTNA,0.0015140868778347441
MUSTN1,0.0015120118286802845
CCNJL,0.0015117730051656655
SFRP1,0.001511514675836957
MUC6,0.00151011808709727
PTPRR,0.0015072392690788305
SKA1,0.0015070576497319306
DLGAP5,0.0015069866355097539
KCNJ3,0.0015061770731272695
AKR1B15,0.0015030212108767514
BUB1B,0.0015020125870370926
ZBTB16,0.0015018598897269283
FAR2,0.0015005615533106543
CDT1,0.0015003221495799974
HMGA2,0.001500281003778683
PAMR1,0.001498504225897553
TFF1,0.0014983561567209196
ZNF135,0.0014982497757036603
TTC36,0.0014982191328916392
NOS1AP,0.001496738503529412
P2RY11,0.0014959131155016002
ANXA3,0.0014950525922988807
PRPH,0.001494635685558718
C6orf105,0.0014934488585819534
ABCC2,0.001493400634884839
GATA4,0.0014930246996703053
TRPA1,0.0014918090771209968
DLK2,0.0014902182899589889
CHRNA6,0.0014886910269840176
IL1RN,0.0014873695177281359
LPAR3,0.0014864405113350976
ACOX2,0.001485613248087879
SPESP1,0.001485336025750033
KLHL35,0.0014834644622074697
COL17A1,0.001482519769476514
OXTR,0.0014811206690486264
CXCL9,0.001480608462331961
STX19,0.0014792846705846488
FOXM1,0.0014781238709266138
PLEKHN1,0.0014761207663940784
TMEM145,0.0014753845993707969
KRT5,0.0014739782178921246
NCRNA00162,0.00147351147257745
TMEM26,0.001473438804700638
FA2H,0.001473287519486435
FAM189A1,0.001472055774787072
HTR2A,0.0014718400324677343
ZNF516,0.0014715626809370342
SLC25A18,0.0014707009874099538
CBLC,0.0014706274195380804
