Gene,Variance
CKMT1A,5.397235194673089
NELL1,5.396362438506716
STC2,5.3956434578502375
TMEM45B,5.390318755339611
CHST9,5.377224363791094
ACTA1,5.373266822722202
ALOX15,5.367145950317886
CA12,5.364685577757628
C2orf72,5.361724429273852
CA8,5.356297162863293
UBD,5.356279946685472
FUT9,5.352094584826276
PADI3,5.351768856924187
CLDN8,5.350421629952867
DPYSL5,5.345708058638075
L1CAM,5.345553060090285
GPX2,5.343609470022819
EREG,5.341788263803918
GAL,5.336976061788956
FAM184B,5.3366729570358045
ANO5,5.331177923555009
ALDH1L1,5.327383838134826
CWH43,5.324574209776876
KCNK15,5.3236220380002495
CDSN,5.320675657856596
FIBCD1,5.318041588165668
ANO3,5.317224000776652
MYEOV,5.317014221034124
ADAMTS16,5.310158191522577
PCDHA6,5.305119058143031
HHIPL2,5.304252709401409
MAGEA2,5.300276233673834
PEBP4,5.2836538868058245
B3GALT5,5.282893177552593
IGFALS,5.274359451787182
EN1,5.266099327853031
AK5,5.2649018134549594
C14orf180,5.264871289981606
NTRK3,5.264630816284293
NKX2-5,5.261736683753262
C10orf81,5.258380287761632
ADH1C,5.258117505872956
HOXC13,5.257789315244917
CXCR2P1,5.2540628713971165
OSR1,5.253299125658483
ADAMDEC1,5.243478397224542
SPIB,5.24302975438423
IDO1,5.241355728202646
SLC27A2,5.235211401829645
MAPK15,5.229313790563898
TRIM58,5.2280489710960065
HPGD,5.227505494866073
C1orf95,5.222009811773868
ABCA13,5.220106926704224
GATA5,5.220000669265746
ACE2,5.216190627531772
PCDHA4,5.213540993512632
GPR110,5.207394916937799
ST8SIA6,5.200872037393491
PLP1,5.200059070928575
SMYD1,5.19426559430725
PTPN20B,5.1899846498301905
C1orf168,5.185675660539086
GPM6A,5.18409913395461
MAT1A,5.174929568632975
TCL1A,5.173065837129748
TMEM150C,5.169540795980611
CALB2,5.166423096307584
C8orf85,5.165320604190223
SCUBE1,5.15985437894844
SAMD11,5.15816761234394
RELN,5.1549168381759305
NCAM2,5.151752688293145
CST2,5.151567515618444
CDH19,5.148359934663991
GPR12,5.145773218872744
C19orf21,5.136236907878929
DNAJC12,5.135610240040858
MRAP,5.132509891847108
COL4A6,5.130348850909901
CITED1,5.129832874362016
VWA2,5.129683991348652
LOC96610,5.127723894581968
KRT75,5.119183334145728
LONRF2,5.116504286557191
AMY1A,5.108971848879784
NLRP5,5.108509561916306
PITX1,5.10719236106946
XAGE1D,5.103156950967217
LIN7A,5.100243791545298
DPY19L2P4,5.097820318605379
PRR15,5.093016495085289
KIAA0408,5.079825825690904
SCAND3,5.07803575735243
RASSF10,5.07698041473657
LRTM2,5.076550279377558
COMP,5.0740036926170085
GRP,5.072912847107739
KLK14,5.069370608983046
ATP6V1B1,5.065274098002719
IL6ST,5.062321714206511
CYP24A1,5.060693242315203
KCNH1,5.0574201069927405
RTBDN,5.049738536863238
VSTM2L,5.045733123033568
NPY2R,5.044822507397751
GRIA4,5.043688905318961
CADM3,5.038316156483727
RP1,5.034302092119341
MLPH,5.032690718805119
FOSB,5.026554890760622
POU2AF1,5.0261121558454
CACNG6,5.0248300348233235
ACTN2,5.024290153764081
MT1G,5.022530368243583
ARX,5.021522490243059
GREB1,5.0164776295144184
TNS4,5.016155122762197
UGT2B4,5.015845334714331
RANBP3L,5.0140101845098926
THBS4,5.009609724894109
SP5,5.008009482873582
RERGL,5.002151401290866
MAGEA12,4.986819784752955
FAM135B,4.9780476957475654
KCND3,4.974407085669881
TCAM1P,4.974239420320419
PTX3,4.972003630583621
SLC12A1,4.971270933671087
RIMS1,4.9709759350510705
AKR1B15,4.969510933839941
DNAH11,4.9651775717399556
CACNG1,4.963854808821536
TUBB2B,4.963514810311832
SIX3,4.962773359274045
MNX1,4.9617350831420115
CPA3,4.957838843231283
MUM1L1,4.956438006836632
C1orf116,4.955536414615895
UPK1A,4.953802985278957
ALDH3B2,4.9500411941327505
ZMAT4,4.948994612705093
BRSK2,4.944442747415026
SELP,4.94297714742573
COL10A1,4.94227457391342
SCNN1B,4.941878726999899
MGAM,4.939313989618531
CSN3,4.938574771999933
PNCK,4.935415180041776
FAM83B,4.93498223908784
CSAG3,4.9197174932692365
XDH,4.917419936219595
PHYHD1,4.915415335589566
LOC100128977,4.915226689814175
ADCY2,4.913056777853569
TMEM145,4.90820058586824
EHF,4.907349606391637
PCDHA1,4.901151870171735
EGF,4.900931296059957
SPESP1,4.887972488088085
SCN7A,4.8879409589240606
PLAC2,4.884879767662816
AP3B2,4.879726102657132
FLRT3,4.877593888948651
AKR1C1,4.875681540523551
SULT4A1,4.869028716877368
SCEL,4.864670218631341
SUSD3,4.862211293426072
CD36,4.862157750759177
SLC30A2,4.851120412679775
MMP3,4.828204054696966
P2RY11,4.826310809910389
TYRP1,4.823299668246579
ABHD12B,4.823005525735574
DQX1,4.8219466346738304
LOC389493,4.819505415076662
CXCL1,4.818750869249115
SMC1B,4.816273208959081
SERPINB7,4.816208117160069
GAD1,4.811010891026258
SLITRK5,4.807862931977881
AQP9,4.807229457441656
PRSS12,4.803856259569616
CXCL5,4.7989522314774895
LPAR3,4.794497320417175
GJB5,4.782949412555859
PHF21B,4.774307907703629
LOC100130148,4.772399934608035
CACNA1H,4.772360927547622
FOXD1,4.7713443784196485
UPF0639,4.771217861941462
C4BPA,4.769873950375896
KLK12,4.768743938064248
SCUBE3,4.7678444392184725
ENTPD8,4.767590401388066
SMR3B,4.766833985704914
AMBP,4.765369816523258
GPR158,4.761919056856781
HPN,4.754864226315947
SLC35F3,4.753652002646559
MSI1,4.748476455664524
SLC16A6,4.746750865134464
FGFR4,4.738831820866762
C6orf15,4.736950301592459
UGT1A6,4.731882382931809
CD1A,4.72501762921552
C1orf130,4.72369133143401
LOC150622,4.723342428671494
RIC3,4.722974200181261
IL33,4.722762906453
KLK4,4.721821209175736
C21orf15,4.72128765326134
AGT,4.709906876642155
NPW,4.706105457829868
WISP3,4.70405988665091
CRTAC1,4.700861303627313
ADCY1,4.699724090409732
IVL,4.697408896445021
CCL14,4.69660712297538
CCL28,4.694294450164913
ALOX12P2,4.690325767956583
MGC29506,4.677677563911421
CNTN1,4.671854104988676
WDR17,4.671382012269921
KIF12,4.669615027249226
CAPSL,4.6674385157066345
TMEM84,4.662228753051728
GJB6,4.656731802182201
FMO2,4.654358022571302
SIX1,4.654306900429703
ATP1A4,4.648345167213575
